D,L,P,G,Tin,X,CHF,CHF_LUT,CHF_NN
0.0152,1.627,5011,3790,246.43,0.122,2513,2631.848702,2560.178
0.0152,1.627,5041,3830,194.29,0.021,3254,3346.99691,3368.268
0.0152,1.627,5041,3830,194.29,0.02,3249,3355.376307,3371.356
0.0152,1.627,4982,2160,263.71,0.614,324,390.1963367,443.506
0.0152,1.627,5001,2160,263.96,0.543,509,598.4049154,564.7708
0.0152,1.627,5001,2110,263.96,0.55,501,602.4934001,558.2344
0.0152,1.627,5001,2150,263.96,0.474,819,986.6952479,946.6305
0.0152,1.627,4992,2120,263.84,0.419,1390,1509.705291,1275.981
0.0152,1.627,5021,2210,264.2,0.419,1144,1415.413434,1173.787
0.0152,1.627,5041,2170,264.45,0.365,1796,1919.755447,1802.567
0.0152,1.627,5021,2100,264.2,0.375,1740,1874.639336,1774.808
0.0152,1.627,5011,2110,264.08,0.338,1992,2127.205738,2030.521
0.0152,1.627,5001,2110,263.96,0.337,1976,2134.026457,2041.16
0.0152,1.627,5001,2190,263.96,0.34,1969,2091.139415,1990.427
0.00394,3.12,3589,815,56.31,0.952,638,283.7810127,633.8463
0.00394,3.12,3374,830,56.11,0.931,640,378.0758279,645.5153
0.00394,3.12,3226,830,56.83,0.935,641,342.09405,643.9574
0.00394,3.12,2687,844,55.34,0.926,648,314.9737177,649.1139
0.00394,3.12,2687,852,56.06,0.915,648,358.1446834,645.6532
0.00394,3.12,2462,861,56.39,0.907,650,349.2865889,633.9579
0.00394,3.12,2246,896,58.99,0.859,647,515.7789901,624.4379
0.00394,3.12,2030,918,59.06,0.837,649,531.9073399,621.9451
0.00394,3.12,1853,956,61.51,0.801,651,550.7897394,631.7534
0.00394,3.12,1677,986,61.95,0.773,652,546.6759153,642.4238
0.00394,3.12,1451,1025,62.18,0.741,654,548.7878557,651.2369
0.00394,3.12,1304,1081,63.34,0.696,655,615.9319801,678.0381
0.00394,3.12,1255,1092,64.34,0.688,654,630.6808723,686.8403
0.00394,3.12,1079,1182,68.88,0.633,655,691.0466925,652.0157
0.00394,3.12,922,1271,64.82,0.574,657,851.382194,698.246
0.00394,3.12,794,1320,66.13,0.555,658,944.3827027,702.4824
0.00394,3.12,3687,824,58.81,0.934,634,395.0652706,639.5034
0.00394,3.12,3119,842,59.48,0.922,641,392.0502311,649.9975
0.00394,3.12,2687,846,57.74,0.922,645,331.1620969,647.6212
0.00394,3.12,2412,866,57.82,0.9,648,364.2425976,629.1136
0.00394,3.12,2246,877,58.75,0.889,649,385.0800747,624.2953
0.00394,3.12,1961,914,57.4,0.846,653,484.7936773,617.1953
0.00394,3.12,1775,955,58.97,0.803,654,524.0046256,627.5102
0.00394,3.12,1599,980,58.76,0.781,656,508.4884482,634.6277
0.00394,3.12,1412,1020,59.62,0.75,659,513.9200189,648.4875
0.00394,3.12,1177,1094,187.08,0.988,661,21.43898561,718.1357
0.00394,3.12,951,1177,60.95,0.634,661,644.2072746,642.5906
0.00394,3.12,873,1232,60.95,0.6,662,674.5626463,638.2487
0.00394,3.12,2027,526,60.42,0.982,416,148.328898,428.9186
0.00394,3.12,1482,525,60.14,0.998,420,13.16681962,442.9853
0.00394,3.12,1393,537,62.05,0.972,419,172.097764,437.3543
0.00394,3.12,1245,541,61.57,0.967,420,187.2764184,439.8858
0.00394,3.12,1108,553,58.89,0.94,421,309.7899797,440.0061
0.00394,3.12,853,568,58.74,0.917,422,373.250586,442.4129
0.00394,3.12,745,573,60.3,0.914,422,368.5087193,445.6982
0.00394,3.12,696,573,60.3,0.918,423,344.992501,449.1548
0.00394,3.12,588,620,61.27,0.844,425,483.6675275,444.8148
0.00394,3.12,520,636,60.93,0.823,426,488.8935089,448.5518
0.00394,3.12,451,676,61.9,0.77,426,558.0037264,434.4267
0.00394,3.12,451,676,61.9,0.77,426,558.0037264,434.4267
0.00394,3.12,3472,504,45.51,0.986,411,198.9721677,429.9779
0.00394,3.12,3275,518,50.84,0.962,412,511.3145713,439.4299
0.00394,3.12,2922,518,51.35,0.971,414,367.2382114,435.9011
0.00394,3.12,2481,514,51.09,0.992,417,85.42822423,438.5251
0.00394,3.12,2236,522,51.79,0.977,418,214.1505239,426.2759
0.00394,3.12,2138,522,51.66,0.98,419,177.0033393,426.8724
0.00394,3.12,1922,522,51.76,0.985,420,119.4698942,427.8363
0.00394,3.12,1540,526,49.89,0.983,423,114.6021407,432.578
0.00394,3.12,1393,538,52.01,0.969,426,190.0970433,436.841
0.00394,3.12,1098,554,52.01,0.943,428,292.186483,442.3967
0.00394,3.12,981,546,53.03,0.966,428,166.8589687,446.6077
0.00394,3.12,853,571,53,0.918,429,366.7550059,445.4694
0.00394,3.12,736,592,53.33,0.881,429,459.8971934,441.9544
0.00394,2.08,3658,900,51.34,0.842,984,929.2821469,1025.534
0.00394,2.08,3256,915,49.99,0.829,991,894.5191632,1028.613
0.00394,2.08,2805,942,51,0.806,997,856.6533088,1019.472
0.00394,2.08,2452,964,49.92,0.796,1010,753.2590671,1005.399
0.00394,2.08,2216,997,50.57,0.764,1013,747.0741757,1016.089
0.00394,2.08,2108,1025,51.58,0.739,1015,763.518236,1033.79
0.00394,2.08,1991,1040,52.49,0.73,1017,715.2278519,1038.434
0.00394,2.08,1883,1075,54.96,0.703,1018,744.4381941,1060.6
0.00394,2.08,1765,1096,55.08,0.688,1020,790.3175209,1068.979
0.00394,2.08,1667,1147,56.14,0.649,1021,950.0333971,1091.411
0.00394,2.08,1481,1219,57.95,0.603,1023,991.7428239,1041.507
0.00394,2.08,1314,1258,57.97,0.588,1031,964.1895586,1034.259
0.00394,2.08,1157,1324,59.02,0.555,1033,1057.583035,1032.275
0.00394,2.08,932,1414,27.26,0.423,998,2324.933469,1447.926
0.00394,2.08,3560,922,60.8,0.85,996,813.6490625,1028.611
0.00394,2.08,3275,942,59.22,0.827,1001,857.3634111,1044.213
0.00394,2.08,2854,952,59.24,0.825,1008,760.3577739,1027.353
0.00394,2.08,2481,1000,59.71,0.779,1014,785.2453859,1037.948
0.00394,2.08,2138,1054,59.79,0.731,1019,788.2428305,1059.285
0.00394,2.08,1942,1090,60.46,0.704,1022,744.1508119,1076.133
0.00394,2.08,1706,1152,60.7,0.657,1025,912.9584373,1099.629
0.00394,2.08,1510,1213,60.37,0.615,1027,961.7462286,1059.03
0.00394,2.08,1314,1280,60.61,0.578,1030,1024.981634,1038.083
0.00394,2.08,1167,1325,61.34,0.558,1032,1037.890131,1038.67
0.00394,2.08,3432,666,59.61,0.892,744,965.571889,789.8768
0.00394,2.08,3187,659,16.04,0.812,748,1652.350394,779.317
0.00394,2.08,3040,666,58.11,0.902,751,809.1120048,793.3393
0.00394,2.08,2569,675,58.17,0.907,762,613.7943388,795.8278
0.00394,2.08,2089,701,58.02,0.877,771,615.5453099,782.1957
0.00394,2.08,1873,714,58.02,0.864,775,617.1885784,772.2482
0.00394,2.08,1863,714,57.49,0.852,768,687.982913,763.4041
0.00394,2.08,1530,737,58.65,0.831,773,636.7414439,761.094
0.00394,2.08,1363,760,58.82,0.805,776,625.7234091,775.1099
0.00394,2.08,1255,783,57.41,0.777,779,669.9517814,790.9154
0.00394,2.08,1059,785,57.98,0.785,782,525.1597925,787.1224
0.00394,2.08,941,882,58.8,0.678,783,770.7705013,858.082
0.00394,2.08,804,943,59.03,0.624,782,836.5047295,797.0231
0.00394,2.08,657,1001,59.57,0.587,783,925.6003286,821.3093
0.00394,2.08,569,1036,60.19,0.568,784,1046.60857,824.7303
0.00394,2.08,3589,663,58.46,0.889,741,1034.463657,785.0813
0.00394,2.08,3315,663,58.8,0.902,747,862.3181276,785.8781
0.00394,2.08,2726,678,58.13,0.896,760,729.6909716,801.5891
0.00394,2.08,1981,701,57.72,0.886,776,524.6836788,783.5695
0.00394,2.08,1706,719,58.31,0.868,781,545.6362663,770.7377
0.00394,2.08,1422,748,58.54,0.819,775,619.1537713,766.9227
0.00394,2.08,1245,782,57.5,0.777,778,665.6208628,789.7645
0.00394,2.08,1000,848,58.45,0.709,781,724.5236768,832.6305
0.00394,2.08,873,882,58.09,0.679,783,751.6819903,856.9763
0.00394,2.08,3579,1479,49.42,0.676,1418,1063.343522,1366.503
0.00394,2.08,3442,1493,49.5,0.669,1421,1037.089416,1371.036
0.00394,2.08,3011,1563,50.09,0.634,1431,976.7003669,1371.697
0.00394,2.08,2834,1569,49.71,0.625,1421,925.695133,1378.039
0.00394,2.08,2697,1611,51.26,0.607,1425,889.9521199,1409.906
0.00394,2.08,2550,1642,51.99,0.594,1428,932.6391426,1431.524
0.00394,2.08,2354,1681,51.86,0.578,1432,1002.483305,1454.338
0.00394,2.08,2295,1765,51.84,0.534,1433,1262.850355,1429.128
0.00394,2.08,2010,1894,53.01,0.486,1438,1284.755012,1465.574
0.00394,2.08,3501,1540,55.16,0.651,1426,1041.704983,1382.291
0.00394,2.08,2834,1653,55.22,0.598,1441,956.2983282,1439.699
0.00394,2.08,2805,1653,53.63,0.598,1445,947.3341052,1439.252
0.00394,2.08,2432,1729,53.52,0.568,1454,1110.73873,1491.623
0.00394,2.08,2177,1844,58.42,0.526,1455,1105.350713,1440.83
0.00394,2.08,2020,1909,54.01,0.493,1458,1160.146903,1432.116
0.00394,1.04,3658,861,58.52,0.772,1758,1708.582808,1819.975
0.00394,1.04,3138,871,58.43,0.773,1774,1451.107207,1755.604
0.00394,1.04,2736,892,62.89,0.766,1783,1276.566998,1736.047
0.00394,1.04,2422,918,58.78,0.734,1791,1265.438336,1742.537
0.00394,1.04,2236,929,58.73,0.716,1779,1205.514736,1750.468
0.00394,1.04,2059,956,57.93,0.69,1784,1151.067287,1799.476
0.00394,1.04,1912,1042,58.66,0.612,1788,1531.004282,1836.711
0.00394,1.04,1677,1042,58.6,0.624,1799,1264.549734,1863.445
0.00394,1.04,1383,1128,58.83,0.568,1808,1436.874843,1865.696
0.00394,1.04,1324,1128,59.3,0.571,1808,1343.274518,1862.615
0.00394,1.04,1206,1157,61.23,0.56,1811,1290.555536,1887.015
0.00394,1.04,3472,861,59.88,0.758,1731,1809.905541,1785.205
0.00394,1.04,2942,874,59.91,0.754,1744,1566.730198,1739.462
0.00394,1.04,2579,896,59.84,0.736,1752,1431.399456,1730.045
0.00394,1.04,2138,939,60.27,0.705,1771,1151.136954,1765.117
0.00394,1.04,1893,988,60.03,0.662,1778,1194.236578,1862.435
0.00394,1.04,1677,1021,60.52,0.634,1774,1222.935866,1861.879
0.00394,1.04,1442,1046,60.43,0.622,1780,1105.704316,1834.952
0.00394,1.04,1324,1107,61.22,0.58,1783,1277.117844,1836.475
0.00394,1.04,1265,1127,61.62,0.568,1784,1316.682171,1857.596
0.00394,1.04,3766,684,43.45,0.836,1510,1561.942943,1573.547
0.00394,1.04,3413,706,44.16,0.808,1522,1624.466404,1527.944
0.00394,1.04,3148,713,44.26,0.805,1530,1499.532712,1506.301
0.00394,1.04,2785,718,43.38,0.809,1544,1297.726546,1494.675
0.00394,1.04,2462,732,44.41,0.795,1549,1256.799786,1481.462
0.00394,1.04,2256,755,45.83,0.77,1556,1337.835702,1497.584
0.00394,1.04,2050,767,46.2,0.761,1564,1259.903512,1511.609
0.00394,1.04,1824,775,46.3,0.76,1572,1108.477107,1517.166
0.00394,1.04,1579,805,47.34,0.725,1570,1087.704795,1556.395
0.00394,1.04,1471,827,47.56,0.703,1574,1079.216286,1577.213
0.00394,1.04,1294,853,47.41,0.68,1579,1032.817227,1606.217
0.00394,1.04,1147,913,52.15,0.633,1582,1028.76161,1614.09
0.00394,1.04,3472,701,53.66,0.816,1494,1591.847939,1537.898
0.00394,1.04,2971,723,54.29,0.796,1510,1475.728108,1503.378
0.00394,1.04,2560,732,53.41,0.795,1524,1295.123745,1489.24
0.00394,1.04,2001,769,54.2,0.762,1543,1218.089267,1513.771
0.00394,1.04,1736,808,54.2,0.719,1550,1214.599548,1560.347
0.00394,1.04,1628,824,55.15,0.706,1554,1173.07405,1577.411
0.00394,1.04,1412,857,55.79,0.677,1560,1129.551622,1614.804
0.00394,1.04,1118,954,56.92,0.596,1568,1132.375766,1639.929
0.00776,3.12,3717,626,110.84,0.878,826,920.6104965,754.0947
0.00776,3.12,3442,645,117.9,0.863,828,936.7829401,760.5905
0.00776,3.12,3275,659,118.75,0.844,830,995.4761006,761.9975
0.00776,3.12,3197,668,125.49,0.848,832,930.0479332,772.8248
0.00776,3.12,3099,677,128.73,0.843,833,915.8349046,779.3025
0.00776,3.12,2491,749,130.03,0.757,841,1156.527132,823.8853
0.00776,3.12,2403,765,140.39,0.765,843,1027.830468,833.8355
0.00776,3.12,2854,710,141.31,0.828,836,856.7102641,794.2896
0.00776,3.12,2687,679,113.24,0.817,840,947.3704822,770.1674
0.00776,3.12,1863,854,120.77,0.639,850,1303.644002,797.0404
0.00777,3.12,1607,965,122.97,0.558,855,1633.437699,863.0202
0.00777,3.12,1510,1010,126.18,0.539,858,1591.550016,858.5877
0.00777,3.12,1462,1040,126.69,0.522,858,1647.17128,850.369
0.00777,3.12,1400,1083,127.37,0.494,852,1807.897834,859.1738
0.00777,3.12,1317,1146,128.87,0.468,855,2109.135186,851.061
0.00777,3.12,1255,1199,128.67,0.444,855,2347.617343,835.1997
0.00777,3.12,1227,1231,129.25,0.431,855,2384.719224,825.0778
0.00777,3.12,1131,1296,129.66,0.412,858,2304.169431,822.0233
0.00777,3.12,1089,1337,129.56,0.4,861,2247.757271,827.8643
0.00777,3.12,1048,1380,128.51,0.384,861,2463.834283,834.006
0.00777,3.12,1027,1408,128.3,0.375,861,2600.256812,849.2985
0.00777,3.12,1014,1416,127.25,0.371,861,2670.932885,853.9721
0.00776,3.12,3266,385,101.04,0.97,556,286.5537717,526.3292
0.00776,3.12,2981,389,101.27,0.962,558,353.4064451,547.2164
0.00776,3.12,2756,391,102.43,0.963,560,321.6353315,551.0521
0.00776,3.12,2363,404,105.75,0.939,563,463.7469416,552.3222
0.00776,3.12,2236,406,108.3,0.944,565,405.401458,554.7917
0.00776,3.12,2059,412,113.66,0.942,566,389.4841092,557.2496
0.00776,3.12,1883,416,114.49,0.94,569,376.872843,558.3712
0.00776,3.12,1775,433,116.32,0.902,570,585.2383003,556.1385
0.00776,3.12,1746,429,117.11,0.916,571,497.9828998,558.7756
0.00776,3.12,1530,450,121.19,0.871,568,653.9683463,552.0338
0.00776,3.12,1363,465,121.35,0.846,571,687.4692367,553.3035
0.00776,3.12,1187,503,123.21,0.783,573,825.9429824,570.7265
0.00776,3.12,1118,531,123.95,0.736,572,960.6373831,570.6505
0.00776,3.12,1069,554,124.95,0.707,574,1010.73931,538.3433
0.00776,3.12,1040,579,125.81,0.673,573,1091.772122,547.0731
0.00776,3.12,1000,596,126.86,0.654,573,1090.737324,553.2218
0.00776,3.12,902,654,122.99,0.586,575,1339.024912,573.8795
0.00776,3.12,785,744,127.58,0.521,577,2041.530842,592.9604
0.00776,3.12,3226,425,159.68,0.97,548,290.1060009,540.1313
0.00776,3.12,2775,433,161.71,0.961,551,343.5858927,575.4935
0.00776,3.12,2599,448,168.74,0.943,552,471.9605869,586.8865
0.00776,3.12,2432,448,168.65,0.948,554,403.2658064,587.5242
0.00776,3.12,2295,456,170.25,0.935,555,475.0760133,587.9993
0.00776,3.12,2226,454,172.25,0.946,556,383.0150895,590.7661
0.00776,3.12,2040,473,173.51,0.913,558,559.1943239,593.332
0.00776,3.12,1932,475,170.88,0.905,559,582.4368283,588.6829
0.00776,3.12,1814,482,171.05,0.896,561,601.6740572,586.9453
0.00776,3.12,1677,501,169.81,0.862,563,705.3899014,579.8329
0.00776,3.12,1520,527,169.75,0.807,556,834.2542818,589.0851
0.00776,3.12,3511,241,125.78,0.976,334,209.1647549,337.0094
0.00776,3.12,3217,245,124.46,0.96,336,343.2556615,348.6794
0.00776,3.12,2805,247,124.78,0.959,338,333.5786244,347.1543
0.00776,3.12,2579,249,120.04,0.946,340,419.2209399,338.7223
0.00776,3.12,2471,254,122.97,0.93,340,533.0508731,335.9991
0.00776,3.12,2010,249,122.96,0.966,343,230.3400349,342.3439
0.00776,3.12,1510,256,128.3,0.968,348,192.2131193,350.1725
0.00776,3.12,1353,260,131.81,0.966,350,195.9691082,353.3781
0.00776,3.12,1226,266,130.62,0.947,352,295.1000919,352.2592
0.00776,3.12,1089,266,132.84,0.96,354,213.7093338,358.3282
0.00776,3.12,981,268,132.81,0.961,356,201.6888163,362.2423
0.00776,3.12,892,281,136.12,0.927,358,369.3673367,375.8252
0.00776,3.12,794,283,135.57,0.926,360,364.7455634,381.7828
0.00776,3.12,657,290,123.96,0.892,363,490.7144338,377.2081
0.00776,3.12,647,292,123.81,0.885,363,502.7473256,376.215
0.00776,3.12,559,300,121.98,0.868,366,516.1980102,374.3117
0.00776,3.12,510,315,120.77,0.814,362,575.588694,370.0121
0.00776,3.12,461,323,117.17,0.79,363,599.7276835,363.1064
0.00776,3.12,422,336,115.05,0.758,364,639.8999525,364.6632
0.00776,3.12,392,349,108.8,0.72,365,690.6236781,366.8522
0.00776,3.12,363,351,108.15,0.717,365,689.6718243,367.0432
0.00776,3.12,363,362,108.63,0.696,366,731.3957461,367.8837
0.00776,2.08,3844,592,112.36,0.849,1141,1235.296436,1194.107
0.00776,2.08,3442,611,111.75,0.819,1147,1319.498686,1175.275
0.00776,2.08,2873,626,112.77,0.81,1158,1177.868832,1120.623
0.00776,2.08,2442,649,112.85,0.787,1169,1134.9819,1118.543
0.00776,2.08,1853,725,98.7,0.671,1185,1412.203011,1113.344
0.00776,2.08,2040,687,114.33,0.748,1179,1137.183806,1129.712
0.00776,2.08,2216,660,114.42,0.781,1175,1065.229635,1115.006
0.00776,2.08,1363,878,120.88,0.585,1199,1289.25992,1173.422
0.00776,2.08,1187,969,122.98,0.531,1205,1443.113159,1166.998
0.00776,2.08,1363,878,122.06,0.588,1199,1243.67922,1178.74
0.00776,2.08,1618,808,122.61,0.64,1192,1209.575499,1172.454
0.00776,2.08,1500,842,122.55,0.613,1194,1183.95922,1176.292
0.00776,2.08,1285,926,124.39,0.559,1202,1435.308563,1199.233
0.00776,2.08,1108,1029,126.59,0.505,1208,1323.86952,1186.378
0.00776,2.08,1098,1047,126.65,0.495,1208,1451.139065,1187.115
0.00776,2.08,1049,1063,125.73,0.488,1210,1546.385306,1187.281
0.00776,2.08,1010,1095,126.6,0.474,1212,1805.856244,1190.522
0.00776,2.08,912,1140,126.76,0.459,1214,1923.265009,1173.18
0.00776,2.08,902,1162,126.51,0.448,1214,2046.984496,1152.77
0.00776,2.08,863,1188,126.47,0.438,1213,2000.548989,1138.552
0.00776,2.08,814,1233,126.77,0.423,1213,1936.102703,1152.188
0.00776,2.08,785,1248,125.94,0.417,1214,1902.187761,1166.375
0.00776,2.08,765,1270,125.08,0.409,1215,1886.103743,1198.923
0.00776,2.08,745,1277,123.97,0.405,1215,1869.858742,1209.598
0.00776,2.08,4089,588,112.03,0.865,1150,1161.590866,1155.566
0.00776,2.08,4040,585,111.69,0.872,1151,1107.167412,1135.772
0.00776,2.08,3638,615,113.69,0.825,1157,1316.399796,1202.889
0.00776,2.08,3246,603,117.24,0.867,1165,975.0354317,1151.41
0.00776,2.08,2481,687,126.74,0.769,1180,1208.518034,1150.233
0.00776,2.08,2638,700,135.48,0.765,1176,1280.657743,1169.294
0.00776,2.08,3070,632,139.88,0.871,1168,849.9542977,1154.022
0.00776,2.08,2873,655,141,0.84,1172,929.0450755,1147.231
0.00776,2.08,2020,757,144.1,0.736,1194,1028.845324,1181.672
0.00776,2.08,2226,727,147.54,0.766,1180,1026.368873,1163.879
0.00776,2.08,3776,579,96.93,0.848,1150,1258.557742,1171.276
0.00776,2.08,3491,603,99.14,0.81,1153,1413.446894,1172.986
0.00776,2.08,3697,581,98.85,0.851,1151,1217.23618,1167.1
0.00776,2.08,3197,607,100.64,0.815,1160,1293.935268,1142.591
0.00776,2.08,2991,600,105.04,0.844,1163,1080.178674,1112.937
0.00776,2.08,3295,600,106.35,0.838,1157,1183.364369,1147.118
0.00776,2.08,3491,600,106.74,0.834,1153,1253.165657,1169.881
0.00776,2.08,3020,619,107.06,0.812,1163,1235.089923,1132.14
0.00776,2.08,2736,623,112.19,0.826,1169,1043.984316,1105.268
0.00776,2.08,2658,634,113.78,0.813,1171,1065.747736,1108.284
0.00776,2.08,2805,628,119.83,0.834,1169,1008.578743,1118.372
0.00776,2.08,2687,636,120.8,0.825,1170,1002.847002,1109.827
0.00776,2.08,2550,653,122.44,0.803,1172,1041.288664,1119.884
0.00776,2.08,2432,653,125.59,0.815,1176,937.5277298,1104.191
0.00776,2.08,2324,664,126.53,0.804,1178,938.3812454,1111.352
0.00776,2.08,2069,704,128.54,0.76,1185,1042.710841,1139.648
0.00776,2.08,1844,761,131.05,0.704,1192,1079.326309,1179.928
0.00776,2.08,1589,844,133.91,0.636,1199,1138.323152,1199.129
0.00776,2.08,1648,844,137.87,0.642,1197,1150.1852,1204.673
0.00776,2.08,1461,909,137.21,0.594,1203,1178.670513,1234.193
0.00776,2.08,1393,952,138.15,0.568,1206,1345.838203,1254.402
0.00776,2.08,1285,1000,138.47,0.541,1209,1322.034723,1208.968
0.00776,2.08,1245,1047,141.64,0.521,1210,1371.907347,1207.651
0.00776,2.08,1167,1097,141.88,0.498,1214,1406.886137,1229.858
0.00776,2.08,3423,457,98.82,0.902,943,978.3819814,969.5724
0.00776,2.08,3589,457,100.7,0.906,943,953.7314182,971.1642
0.00776,2.08,3933,463,103.46,0.887,937,1148.953463,988.7989
0.00776,2.08,3256,482,105.12,0.859,948,1273.707798,1001.205
0.00776,2.08,2864,480,105.7,0.874,953,1086.350996,987.7501
0.00776,2.08,2569,482,106.33,0.88,959,938.7826615,978.8766
0.00776,2.08,2667,484,109.96,0.88,957,975.004943,988.8274
0.00776,2.08,2167,484,110.33,0.885,956,762.5358017,955.8914
0.00776,2.08,1687,531,115.32,0.816,967,863.3613465,964.6573
0.00776,2.08,1373,592,119.83,0.737,975,1012.291574,999.7742
0.00776,2.08,1294,615,120.49,0.707,976,1056.436118,958.2086
0.00776,2.08,1236,634,121.59,0.686,976,1081.026691,929.9435
0.00776,2.08,1079,691,123.49,0.633,983,1012.733938,939.7778
0.00776,2.08,5776,702,162.71,0.625,983,2557.749752,1315.791
0.00776,2.08,990,744,125.7,0.589,984,1108.299011,996.3627
0.00776,2.08,941,761,127.67,0.58,984,1226.619748,1012.685
0.00776,2.08,804,838,129.54,0.518,966,1773.199611,1033.375
0.00776,2.08,775,886,129.62,0.488,967,1855.907668,969.9619
0.00776,2.08,696,1080,127.49,0.387,967,2256.020551,1022.24
0.00776,2.08,667,1089,119.16,0.37,968,2338.356291,1051.098
0.00776,2.08,3521,476,97.08,0.877,966,1180.37267,996.3739
0.00776,2.08,3158,474,98.68,0.895,972,1012.641361,983.5814
0.00776,2.08,2864,476,99.06,0.902,980,899.1155484,977.6374
0.00776,2.08,2707,482,98.98,0.892,984,915.2442029,983.83
0.00776,2.08,2560,489,99.95,0.886,990,899.1264183,991.6636
0.00776,2.08,2207,495,100.92,0.883,995,784.4606845,970.5646
0.00776,2.08,1952,512,101.74,0.855,1000,811.6997411,953.2697
0.00776,2.08,2393,497,104.57,0.88,991,870.7484363,987.9622
0.00776,2.08,2530,486,104.24,0.903,990,781.2484325,984.3056
0.00776,2.08,2354,495,108.61,0.874,974,890.1292562,978.5714
0.00776,2.08,2138,516,109.34,0.839,980,961.3262544,968.8472
0.00776,2.08,1952,525,110.51,0.829,983,919.5126036,969.6448
0.00776,2.08,1834,531,110.72,0.824,987,887.6363605,970.1001
0.00776,2.08,1697,544,113.03,0.809,990,877.5930865,978.2468
0.00776,2.08,1608,560,112.85,0.784,992,946.8680096,994.9058
0.00776,2.08,1520,586,114.72,0.75,996,1046.273122,1021.07
0.00776,2.08,1373,611,116.76,0.722,998,1048.119048,997.0538
0.00776,2.08,1314,640,119.58,0.692,1000,1095.343139,961.798
0.00776,2.08,1059,751,122.4,0.586,1004,1229.046333,1004.785
0.00776,2.08,990,782,123.35,0.561,1001,1617.49246,1039.056
0.00776,2.08,3923,332,94.97,0.921,701,773.1269637,711.9672
0.00776,2.08,3668,334,94.29,0.923,707,741.1765034,723.494
0.00776,2.08,3128,334,94.75,0.94,715,555.7194093,728.2194
0.00776,2.08,2883,343,95.42,0.919,721,723.057511,765.1103
0.00776,2.08,2707,340,94.23,0.933,724,569.8603364,754.3903
0.00776,2.08,2452,347,96.24,0.919,727,639.8645645,757.88
0.00776,2.08,2010,349,97.87,0.936,737,437.0295527,749.1722
0.00776,2.08,1873,349,98.09,0.941,739,387.0253161,745.4506
0.00776,2.08,1726,355,99.46,0.93,742,437.306527,748.5621
0.00776,2.08,1559,357,100.37,0.933,745,396.1013923,748.567
0.00776,2.08,1324,372,102.44,0.871,729,645.6642669,720.2295
0.00776,2.08,1628,362,105.91,0.897,725,615.7514902,735.3908
0.00776,2.08,1451,385,127.02,0.883,727,623.3160592,751.1763
0.00776,2.08,1118,402,109.79,0.818,733,737.7364805,756.4636
0.00776,2.08,1344,376,108.62,0.874,730,637.0498945,728.6232
0.00776,2.08,1275,383,111.27,0.863,731,653.8995148,736.7684
0.00776,2.08,1118,406,110.02,0.809,733,763.2678417,763.5198
0.00776,2.08,981,431,113.27,0.768,736,850.1466611,758.8231
0.00776,2.08,912,450,114.04,0.735,737,926.6273495,719.3258
0.00776,2.08,873,461,115.42,0.72,738,945.6731235,712.2198
0.00776,2.08,843,482,118.86,0.698,743,985.5730887,722.3267
0.00776,2.08,834,493,120.28,0.683,743,1043.745424,731.6915
0.00776,2.08,785,531,124.05,0.637,743,1166.51479,767.7544
0.00776,2.08,706,554,125.49,0.615,744,1161.276742,787.2719
0.00776,2.08,2462,355,100.76,0.92,738,633.4185878,771.3675
0.00776,2.08,2334,355,100.53,0.926,741,562.5804811,768.028
0.00776,2.08,2167,357,100.61,0.925,744,538.8972718,765.2719
0.00776,2.08,1942,361,101.46,0.922,748,518.0247,763.5755
0.00776,2.08,1746,366,104.81,0.924,753,473.7024234,766.5714
0.00776,2.08,1500,370,102.93,0.915,756,486.6274949,754.6981
0.00776,2.08,1255,395,104.59,0.858,760,657.4334004,756.4857
0.00776,2.08,1118,406,107.42,0.818,744,734.5408799,762.7008
0.00776,2.08,1010,423,108.91,0.787,746,787.6804535,789.9692
0.00776,2.08,2824,279,92.73,0.925,592,636.9091347,598.9529
0.00776,2.08,2579,277,94.2,0.945,595,440.1481268,597.3184
0.00776,2.08,2265,277,94.07,0.954,599,340.4607867,614.8416
0.00776,2.08,1952,277,95.57,0.966,602,231.6307728,618.5037
0.00776,2.08,1559,279,95.86,0.956,599,270.7977148,614.0681
0.00776,2.08,1402,281,99.32,0.963,602,218.0237337,613.8727
0.00776,2.08,1187,290,100.99,0.937,604,348.9299525,610.0637
0.00776,2.08,1079,288,105.3,0.958,605,224.6218273,612.591
0.00776,2.08,892,306,105.49,0.901,607,498.3466382,559.1964
0.00776,2.08,814,326,114.76,0.852,603,596.3400076,586.576
0.00776,2.08,804,321,113.28,0.865,603,565.6908783,579.8466
0.00776,2.08,745,324,113.83,0.86,604,560.4399729,583.0577
0.00776,2.08,667,345,115.62,0.81,605,626.2357955,602.1384
0.00776,2.08,628,361,114.82,0.756,595,728.9962268,593.1846
0.00776,2.08,520,389,118.69,0.711,596,726.1185616,601.4365
0.00776,1.04,3678,222,73,0.858,930,1161.775831,961.072
0.00776,1.04,3168,220,73.14,0.889,942,903.7996668,950.73
0.00776,1.04,2648,220,73.12,0.905,952,724.1517893,929.0651
0.00776,1.04,2285,220,75.27,0.919,957,571.7577219,921.085
0.00776,1.04,2001,233,75.48,0.864,966,869.5331327,954.8496
0.00776,1.04,1746,239,78.16,0.852,973,866.3800266,988.9969
